ASEAN Country,2024,2023,2022,2021,2020,2019,2018,2017,2016
Indonesia,1396.3,1371.17,1319.1,1186.51,1059.05,1119.1,1042.27,1015.62,931.88
Singapore,572.88,511.18,514.25,441.11,351.23,376.83,377.98,344.8,320.76
Thailand,529.39,517.01,495.69,506.05,500.27,543.98,506.75,456.36,413.37
Philippines,461.62,437.06,404.35,394.09,361.75,376.82,346.84,328.48,318.63
Vietnam,459.45,432.98,411.03,370.07,346.28,331.81,304.47,277.08,252.14
Malaysia,422.23,399.95,407.83,373.78,337.46,365.18,358.78,319.11,301.26
Myanmar,76.76,66.82,67.44,55.26,77.03,75.28,67.49,66.08,62.84
Cambodia,46.1,42.4,39.46,36.17,34.5,35.98,32.84,29.12,26.5
Laos,15.79,14.99,15.12,18.53,18.51,18.77,18.13,17.05,15.9
Brunei,15.33,15.1,16.68,14.01,12.01,13.47,13.56,12.13,11.4
