Country Name,2024,2023,2022,2021,2020,2019,2018,2017,2016
Malaysia,11874.42737,11386.03956,11754.56783,10903.10375,9957.526267,10920.19176,10901.802,9862.548066,9476.534098
Indonesia,4925.430488,4876.307745,4730.834848,4287.17314,3853.702888,4106.948562,3860.953531,3798.883262,3521.469435
Singapore,90674.06663,85412.23035,90299.06946,80056.12882,61410.07926,65952.0379,66881.6067,61236.25127,57005.58872
Philippines,3984.831539,3804.082741,3548.069306,3484.385939,3227.579102,3400.789498,3168.510366,3038.12125,2985.19564
Thailand,7346.620221,7195.101309,6909.352818,7057.207548,6985.643939,7605.696578,7099.776501,6413.091825,5833.577156
Cambodia,2627.879698,2429.748535,2325.0305,2167.403242,2081.739142,2225.877055,2036.673776,1826.353917,1675.195557
Myanmar,1359.050016,1233.196662,1158.050051,1242.721344,1490.216836,1425.989542,1298.213103,1272.822418,1229.197135
Viet Nam,4717.290287,4323.35032,4147.697772,3704.193559,3534.039535,3440.900254,3222.310031,2956.109921,2735.060438
Lao PDR,2123.979094,2066.949798,2046.404403,2526.05105,2583.777307,2589.32081,2545.107542,2432.430595,2303.22156
Brunei Darussalam,33153.47389,32890.54918,36632.9281,31006.96363,26834.35922,30426.57307,30988.11903,28024.38246,26663.2973
